CID	bank_id
2051	N.A.
3101	N.A.
5978	DB00541
6253	DB00987
9903	N.A.
10635	DB02901
44259	DB02010
60780	N.A.
64971	DB12480
65064	DB12116
72301	DB12093
97226	DB12385
104746	DB12083
104758	N.A.
122724	N.A.
126941	DB00563
216345	N.A.
241903	DB00570
444732	DB04297
446556	N.A.
451668	DB01262
657237	DB01073
3006531	N.A.
5311272	N.A.
9826528	DB07101
11226684	N.A.
11228183	N.A.
24180719	DB06999
24801580	N.A.
24801581	N.A.
24801582	N.A.
45266826	DB13108
56842234	N.A.
57347814	N.A.
91820602	DB14740
702	DB00898
784	DB11091
2187	DB01217
2520	DB00661
2578	DB00262
2767	N.A.
2907	DB00531
3385	DB00544
3657	DB01005
3902	DB01006
4212	DB01204
4891	DB01058
5291	DB00619
5311	DB02546
5394	DB00853
5743	DB01234
5746	DB00305
5755	DB00860
5865	DB00635
24360	DB04690
30323	DB00694
31703	DB00997
36314	DB01229
36462	DB00773
37542	DB00811
38904	N.A.
41867	DB00445
43815	DB00715
60198	DB00990
60606	DB00758
60700	DB01030
60750	DB00441
60953	DB01101
65348	N.A.
104741	DB00947
104842	DB05482
123631	DB00317
148124	DB01248
156413	N.A.
176870	DB00530
216239	DB00398
285033	DB04865
387447	DB00188
442972	N.A.
444795	DB00755
448013	DB03010
452548	DB00444
460612	DB01042
636397	DB11616
644241	DB04868
969516	DB11672
1548943	DB06774
2733526	DB00675
3062316	DB01254
5280961	DB01645
5284583	DB01202
5284616	DB00877
5310940	N.A.
5329102	DB01268
5360373	DB00290
6505803	DB05134
9915743	DB11828
9931953	N.A.
10184653	DB08916
11556711	DB08889
11626560	DB08865
23725625	DB09074
24978538	DB12340
25183872	DB09570
42611257	DB08881
54671203	DB00254
