cid,sig_id,cell_id,pert_id,drugName,drugClass,drugLabel
REP.A001_A375_24H:A03,REP.A001_A375_24H:A03,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:A04,REP.A001_A375_24H:A04,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:A05,REP.A001_A375_24H:A05,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:A06,REP.A001_A375_24H:A06,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:A13,REP.A001_A375_24H:A13,A375,BRD-K25204779,pritelivir,Anti-Infective Agents,2
REP.A001_A375_24H:A14,REP.A001_A375_24H:A14,A375,BRD-K25204779,pritelivir,Anti-Infective Agents,2
REP.A001_A375_24H:A15,REP.A001_A375_24H:A15,A375,BRD-K25204779,pritelivir,Anti-Infective Agents,2
REP.A001_A375_24H:A16,REP.A001_A375_24H:A16,A375,BRD-K25204779,pritelivir,Anti-Infective Agents,2
REP.A001_A375_24H:A17,REP.A001_A375_24H:A17,A375,BRD-K25204779,pritelivir,Anti-Infective Agents,2
REP.A001_A375_24H:A18,REP.A001_A375_24H:A18,A375,BRD-K25204779,pritelivir,Anti-Infective Agents,2
REP.A001_A375_24H:A19,REP.A001_A375_24H:A19,A375,BRD-K25361343,batimastat,Antineoplastic Agents,1
REP.A001_A375_24H:A20,REP.A001_A375_24H:A20,A375,BRD-K25361343,batimastat,Antineoplastic Agents,1
REP.A001_A375_24H:A21,REP.A001_A375_24H:A21,A375,BRD-K25361343,batimastat,Antineoplastic Agents,1
REP.A001_A375_24H:A22,REP.A001_A375_24H:A22,A375,BRD-K25361343,batimastat,Antineoplastic Agents,1
REP.A001_A375_24H:A23,REP.A001_A375_24H:A23,A375,BRD-K25361343,batimastat,Antineoplastic Agents,1
REP.A001_A375_24H:A24,REP.A001_A375_24H:A24,A375,BRD-K25361343,batimastat,Antineoplastic Agents,1
REP.A001_A375_24H:B03,REP.A001_A375_24H:B03,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:B04,REP.A001_A375_24H:B04,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:B05,REP.A001_A375_24H:B05,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:B06,REP.A001_A375_24H:B06,A375,DMSO,DMSO,Anti-Inflammatory Agents,0
REP.A001_A375_24H:B13,REP.A001_A375_24H:B13,A375,BRD-A25234499,aminoglutethimide,Central Nervous System Agents,4
REP.A001_A375_24H:B14,REP.A001_A375_24H:B14,A375,BRD-A25234499,aminoglutethimide,Central Nervous System Agents,4
REP.A001_A375_24H:B15,REP.A001_A375_24H:B15,A375,BRD-A25234499,aminoglutethimide,Central Nervous System Agents,4
REP.A001_A375_24H:B16,REP.A001_A375_24H:B16,A375,BRD-A25234499,aminoglutethimide,Central Nervous System Agents,4
REP.A001_A375_24H:B17,REP.A001_A375_24H:B17,A375,BRD-A25234499,aminoglutethimide,Central Nervous System Agents,4
